Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Adaro Energy,Indonesia,IDN,Coal Mining,No,medium,ID1000111305,B3BQFC4,01/11/2021,31/03/2021,1,up,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
African Rainbow Minerals,South Africa,ZAF,Coal Mining,No,medium,ZAE000054045,6041122,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,Yes,No,Yes,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,,,2019,Carbon intensity (gCO2 / RTK),,951.0,939.0,899.0,848.0,860.0,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Air China,China,CHN,Airlines,No,large,"CNE1000001S0, CNE000001NN0","B04KNF1, B1B8WM5, BP3R4G6",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Not applicable,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,840.0,844.0,807.0,814.0,814.0,863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,824.0,828.0,822.0,794.0,774.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Air Liquide,France,FRA,Chemicals,Yes,large,FR0000120073,B1YXBJ7,01/11/2021,31/03/2021,4,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Products And Chemcom,United States of America,USA,Chemicals,No,large,US0091581068,2011602,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AirAsia Group Berhad,Malaysia,MYS,Airlines,No,medium,MYL5099OO006,B03J9L7,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Airbus,France,FRA,Other Industrials,Yes,large,NL0000235190,4012250,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akzo Nobel,Netherlands,NLD,Chemicals,No,large,NL0013267909,BJ2KSG2,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Not applicable,Yes,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,Yes,No,No,No,No,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,988.0,983.0,963.0,965.0,964.0,965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tCO2e / t aluminium),,,6.313,5.472,5.197,5.692,6.48,6.237,5.994,5.751,5.508,5.265,5.021,4.791,4.561,4.33,4.1,3.87,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's scrap recycling emissions intensity is assumed to remain unchanged from 2019 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2019 onward. TPI has not made any further assumptions in order to project this companyís Carbon Performance.
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,Yes,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,Paris Pledges,2016,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,0.0789,0.3433,0.2953,0.2947,0.279065796,0.263431592,0.247797388,0.232163184,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).

The company's target applies to Scope 1 and 2 emissions, which normally would not be accepted in TPI's electricity methodology because targets must be stated explicitly as referring to Scope 1 emissions from electricity generation. However, Algonquin Power & Utilities has made explicit that it will meet its target by closing a coal facility. We therefore assume that effectively their target will be applied to the emissions from electricity generation."
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Below 2 Degrees,2050,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,0.841305441,0.83919691,0.741389841,0.623133379,0.56,0.550486276,0.540972553,0.531458829,0.521945106,0.512431382,0.502917659,0.493403935,0.483890211,0.474376488,0.464862764,0.441619626,0.418376488,0.39513335,0.371890211,0.348647073,0.325403935,0.302160797,0.278917659,0.25567452,0.232431382,0.209188244,0.185945106,0.162701967,0.139458829,0.116215691,0.092972553,0.069729415,0.046486276,0.023243138,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,No,No,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tCO2e / t aluminium),21.27,20.7,19.9,18.25,17.1,16.89,16.51,16.51,16.51,16.51,16.51,16.51,16.51,16.496,16.482,16.468,16.454,16.44,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company's Carbon Performance.
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,2 Degrees,2020,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),0.556,0.554,0.545,0.543,0.55,0.53,0.531,0.525,0.519,0.512,0.506,0.5,0.494,0.488,0.482,0.475,0.469,0.463,,,,,,,,,,,,,,,,,,,,,Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Paris Pledges,2043,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.6489,0.6639,0.668,0.689,0.729,0.686,0.663,0.649151835,0.635303669,0.621455504,0.607607339,0.593759173,0.579911008,0.566062843,0.552214678,0.538366512,0.524518347,0.510670182,0.474189578,0.437708975,0.401228372,0.364747769,0.328267165,0.291786562,0.255305959,0.218825356,0.182344752,0.145864149,0.131277734,0.116691319,0.102104904,0.08751849,0.072932075,0.05834566,0.043759245,0.02917283,0.014586415,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,No,No,01/12/2020,23/10/2020,Airlines_01/12/2020,Not Aligned,,Not Aligned,,2019,Carbon intensity (gCO2 / RTK),,1137.0,1111.0,1031.0,1010.0,1018.0,996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Not Aligned,,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.813070815,0.767435116,0.72816412,0.823146927,0.734066177,0.72426377,0.689130605,0.644407332,0.622438669,0.600470006,0.578501344,0.556532681,0.534564018,0.512595356,0.490626693,0.46865803,0.446689367,0.424720705,0.403484669,0.382248634,0.361012599,0.339776564,0.318540529,0.297304493,0.276068458,0.254832423,0.233596388,0.212360352,0.191124317,0.169888282,0.148652247,0.127416211,0.106180176,0.084944141,0.063708106,0.04247207,0.021236035,0.0,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS)."
Ampol,Australia,AUS,Oil & Gas,No,large,AU0000088338,BM91201,01/11/2021,31/03/2021,3,new,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,,,2019,Emissions intensity (gCO2e / MJ),,,,73.48718863,73.24160528,73.05471202,72.86696891,72.81807493,72.76918096,72.72028699,72.67139302,72.62249905,72.57360508,72.5247111,72.47581713,72.42692316,72.37802919,72.32913522,72.28024124,72.23134727,72.1824533,72.13355933,72.08466536,72.03577138,71.98687741,71.93798344,71.88908947,71.8401955,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Anadarko Petroleum,United States of America,USA,Oil & Gas,No,large,US0325111070,2032380,,,,,,,,,,,,,,,,,,,,,,,,01/09/2019,02/08/2019,Oil & Gas_01/09/2019,Not Aligned,,,,2017,Emissions intensity (gCO2e / MJ),,69.946,66.833,69.011,70.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.
Andeavor,United States of America,USA,Oil & Gas,No,medium,US03349M1053,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,GB00B1XZS820,"B1XZS82, B1YW0L9",01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,GB00B1XZS820,"B1XZS82, B1YW0L9",01/11/2021,31/03/2021,4STAR,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,01/11/2021,05/08/2021,Diversified Mining_01/11/2021,National Pledges,2019,Paris Pledges,2016,2020,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,57.44322845,54.21464743,40.77225684,44.08766772,49.17958275,49.07397401,48.96836526,48.86275652,48.75714777,48.65153903,48.54593029,48.44032154,48.3347128,48.22910405,48.12349531,47.83822143,47.55294755,47.26767368,46.9823998,46.69712592,46.41185204,46.12657816,45.84130429,45.55603041,45.27075653,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate the company's targeted emissions intensity, TPI has assumed that: its externally sold energy, Aluminium and steel products grow in-line with the rate projected in the IEA's Energy Technology Perspectives model and other commodities grow in-line with GDP used by the IEA in the ETP. The company's target covers a subset of Scope 1, 2 and 3 (use and/or processing of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Anhui Conch Cement,China,CHN,Cement,Yes,large,"CNE1000001W2, CNE0000019V8","6080396, 6441595, BP3R2Z1",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,Not Aligned,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Arcelor Mittal,Netherlands,NLD,Steel,Yes,large,LU1598757687,BYPBS67,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/02/2021,23/12/2020,Steel_01/02/2021,Below 2 Degrees,2044,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),1.98,1.944,1.968,1.972,1.964,1.94,1.913,1.851,1.79,1.728,1.666,1.604,1.543,1.481,1.419,1.358,1.296,1.234,1.172,1.111,1.049,0.987,0.926,0.864,0.802,0.74,0.679,0.617,0.555,0.494,0.432,0.37,0.309,0.247,0.185,0.123,0.062,0.0,The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.
Arconic,United States of America,USA,Aluminium,No,medium,US03965L1008,BD3D9G5,,,,,,,,,,,,,,,,,,,,,,,,01/02/2020,20/12/2019,Aluminium_01/02/2020,Not Assessed,,,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
