Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,951.0,939.0,899.0,848.0,860.0,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air China,China,CHN,Airlines,No,large,CNE1000001S0,B04KNF1,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,840.0,844.0,807.0,814.0,814.0,863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air China,China,CHN,Airlines,No,large,CNE1000001S0,B04KNF1,01/12/2019,07/11/2019,Not Aligned,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,592.0,598.0,570.0,568.0,566.0,570.0,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air China,China,CHN,Airlines,No,large,CNE1000001S0,B04KNF1,01/02/2019,04/01/2019,Not Aligned,2017,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,111.0,112.0,111.0,107.0,107.0,107.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,824.0,828.0,822.0,794.0,774.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/12/2019,07/11/2019,Not Aligned,2018,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's intensity target includes carbon offsetting, which is inconsistent with TPI's methodology and is therefore not used to estimate future Carbon Performance.",,585.0,582.0,574.0,553.0,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,988.0,983.0,963.0,965.0,964.0,965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2019,07/11/2019,Not Aligned,2018,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The historic intensity figures have been adjusted to include Virgin America, which Alaska Air acquired in 2016. Based on information disclosed, TPI assumes that the company's aircraft carbon emissions represent over 99% of total Scope 1&2 emissions and that freight operations are negligible.",,626.0,622.0,610.0,611.0,611.0,597.0,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/02/2019,04/01/2019,International Pledges,2017,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The historic intensity figures have been adjusted to include Virgin America, which Alaska Air acquired in 2016.",,94.0,93.0,91.0,91.0,90.0,89.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2021,23/12/2020,Not Aligned,2019,Carbon intensity (tCO2e / t aluminium),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's scrap recycling emissions intensity is assumed to remain unchanged from 2019 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2019 onward. TPI has not made any further assumptions in order to project this companyís Carbon Performance.,,,6.313,5.472,5.197,5.692,6.48,6.237,5.994,5.751,5.508,5.265,5.021,4.791,4.561,4.33,4.1,3.87,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2020,20/12/2019,Not Aligned,2018,Carbon intensity (tCO2e / t aluminium),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's scrap recycling emissions intensity is assumed to remain unchanged from 2017 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2017 onward. TPI has not made any further assumptions in order to project this companyís Carbon Performance.,,,6.313077036,5.472480703,5.196978879,5.691953647,5.628037443,5.56412124,5.500205036,5.436288833,5.372372629,5.308456426,5.244540222,5.194922534,5.145304846,5.095687158,5.046069469,4.996451781,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2019,14/12/2018,Not Aligned,2017,Carbon intensity (tCO2e / t aluminium),The company's scrap recycling emissions intensity is assumed to remain unchanged from 2017 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2017 onward.,,,6.31,5.47,5.2,5.22,5.23,5.25,5.27,5.29,5.31,5.33,5.35,5.29,5.24,5.19,5.14,5.09,,,,,,,,,,,,,,,,,,,,
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/10/2020,12/08/2020,Paris Pledges,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,0.078,0.329,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/10/2020,12/08/2020,Below 2 Degrees,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses emissions targets using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",,,,0.845,0.843,0.744,0.626,0.615,0.603,0.592,0.58,0.569,0.558,0.546,0.535,0.523,0.512,0.501,0.476,0.45,0.425,0.4,0.375,0.35,0.325,0.3,0.275,0.25,0.225,0.2,0.175,0.15,0.125,0.1,0.075,0.05,0.025,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/09/2019,02/08/2019,Not Aligned,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses emissions targets using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",,,,0.841,0.836,0.821,0.806,0.791,0.776,0.761,0.745,0.73,0.715,0.7,0.685,0.67,0.655,0.639,,,,,,,,,,,,,,,,,,,,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/07/2018,02/07/2018,Not Aligned,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"Alliant Energy has set a target to reduce its absolute emissions.TPI has adjusted this target by assuming that future electricity generation grows at the same rate as the IEA's ""Gross electricity generation"" projections for the region in which the company operates using the ETP (2017) Reference Technology Scenario.",,,,0.839,0.831,0.823,0.815,0.807,0.799,0.791,0.783,0.775,0.767,0.759,0.751,0.743,0.735,0.727,,,,,,,,,,,,,,,,,,,,
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2021,23/12/2020,Not Aligned,2019,Carbon intensity (tCO2e / t aluminium),TPI has not made any further assumptions in order to project this company's Carbon Performance.,21.27,20.7,19.9,18.25,17.1,16.89,16.51,16.51,16.51,16.51,16.51,16.51,16.51,16.496,16.482,16.468,16.454,16.44,,,,,,,,,,,,,,,,,,,,
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2020,20/12/2019,Not Aligned,2018,Carbon intensity (tCO2e / t aluminium),TPI has not made any further assumptions in order to project this companyís Carbon Performance.,21.27,20.7,19.9,19.41,17.06,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2019,19/12/2018,Not Aligned,2017,Carbon intensity (tCO2e / t aluminium),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. The company has not set targets to reduce its emissions intensity. 
Despite Alumina itself not setting targets, AWAC, of which Alumina owns 40%, does have targets in place.",21.27,20.7,19.9,19.41,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/02/2021,23/12/2020,Not Aligned,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,0.556,0.554,0.545,0.543,0.55,0.53,0.531,0.525,0.519,0.512,0.506,0.5,0.494,0.488,0.482,0.475,0.469,0.463,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/02/2020,20/12/2019,2 Degrees,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this companyís carbon performance.,0.556,0.554,0.545,0.543,0.55,0.593,0.555,0.517,0.5116,0.5062,0.5008,0.4954,0.49,0.4846,0.4792,0.4738,0.4684,0.463,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/09/2018,18/09/2018,2 Degrees,2017,Carbon intensity (tonnes of CO2 per tonne of cementitious product),Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,0.556,0.554,0.545,0.543,0.55,0.539,0.528,0.517,0.512,0.506,0.501,0.495,0.49,0.485,0.479,0.474,0.468,0.463,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/09/2017,14/09/2017,2 Degrees,2015,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,0.556,0.554,0.545,0.535,0.525,0.514,0.504,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/10/2020,12/08/2020,Paris Pledges,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",0.644,0.688,0.662,0.684,0.723,0.681,0.671,0.66,0.65,0.639,0.629,0.618,0.608,0.597,0.587,0.576,0.566,0.555,0.54,0.524,0.508,0.492,0.476,0.46,0.444,0.428,0.413,0.397,0.372,0.346,0.321,0.296,0.271,0.245,0.22,0.195,0.17,0.144
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/09/2019,02/08/2019,Not Aligned,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",0.644,0.688,0.668,0.689,0.729,0.717,0.705,0.694,0.682,0.67,0.658,0.646,0.635,0.623,0.611,0.599,0.587,0.575,,,,,,,,,,,,,,,,,,,,
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/07/2018,02/07/2018,Not Aligned,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"Ameren has set a target to reduce its absolute emissions.TPI has adjusted this target by assuming that future electricity generation grows at the same rate as the IEA's ""Gross electricity generation"" projections for the region in which the company operates using the ETP (2017) Reference Technology Scenario.",0.644,0.688,0.66,0.675,0.667,0.66,0.652,0.644,0.636,0.628,0.62,0.613,0.605,0.597,0.589,0.581,0.573,0.566,,,,,,,,,,,,,,,,,,,,
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/12/2020,23/10/2020,Not Aligned,2019,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,1137.0,1111.0,1031.0,1010.0,1018.0,996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/12/2019,07/11/2019,Not Aligned,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI’s intensity calculation includes emissions and passenger traffic data for American Airline's regional operations.,,719.0,698.0,676.0,665.0,671.0,661.0,652.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Airlines,United States of America,USA,Airlines,Yes,medium,US02376R1023,BCV7KT2,01/02/2019,04/01/2019,Not Aligned,2017,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has no quantitative targets to reduce its emissions, which TPI can use to estimate future Carbon Performance. TPI’s intensity calculation includes emissions and passenger traffic data for American Airline's regional operations.",,119.0,116.0,116.0,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/10/2020,12/08/2020,Not Aligned,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses emissions intensities for 2013 - 2017 and a target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity for these years and the target have been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance for the year 2018.,0.807,0.763,0.723,0.693,0.663,0.728,0.698,0.687,0.676,0.666,0.655,0.644,0.633,0.622,0.611,0.601,0.59,0.579,0.566,0.554,0.541,0.528,0.516,0.503,0.49,0.478,0.465,0.453,0.44,0.427,0.415,0.402,0.389,0.377,0.364,0.351,0.339,0.326
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/09/2019,12/07/2019,Not Aligned,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses emissions intensities for 2013 - 2017 and a target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity for these years and the target have been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance for the year 2018.,0.807,0.763,0.723,0.693,0.686,0.678,0.67,0.663,0.655,0.647,0.64,0.632,0.624,0.617,0.609,0.601,0.593,0.586,,,,,,,,,,,,,,,,,,,,
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/07/2018,02/07/2018,Not Aligned,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"American Electric Power has set a target to reduce its absolute emissions.TPI has adjusted this target by assuming that future electricity generation grows at the same rate as the IEA's ""Gross electricity generation"" projections for the region in which the company operates using the ETP (2017) Reference Technology Scenario. TPI also assumes that: 
● Emissions from electricity production will reduce in-line with a broader emissions target",0.807,0.763,0.723,0.693,0.677,0.661,0.645,0.629,0.613,0.598,0.582,0.566,0.55,0.534,0.518,0.502,0.486,0.47,,,,,,,,,,,,,,,,,,,,
American Electric Power,United States of America,USA,Electricity Utilities,Yes,large,US0255371017,2026242,01/06/2017,05/05/2017,Not Aligned,2015,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,0.807,0.763,0.723,0.742,0.761,0.78,0.799,0.818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anadarko Petroleum,United States of America,USA,Oil & Gas,No,large,US0325111070,2032380,01/09/2019,02/08/2019,Not Aligned,2017,Emissions intensity (gCO2e / MJ),The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.,,69.946,66.833,69.011,70.815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anglo American (Diversified mining),United Kingdom,GBR,Diversified Mining,Yes,large,GB00B1XZS820,B1YW0L9,01/02/2021,23/12/2020,Paris Pledges,2019,Carbon intensity (tonne CO2e / tonne copper equivalent),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate the company's targeted emissions intensity, TPI has assumed that: its externally sold energy, Aluminium and steel products grow in-line with the rate projected in the IEA's Energy Technology Perspectives model and other commodities grow in-line with GDP used by the IEA in the ETP. The company's target covers a subset of Scope 1, 2 and 3 (use and/or processing of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure.",,,,57.433,54.346,40.86,45.029,44.933,44.836,44.739,44.641,44.543,44.434,44.353,44.271,44.187,44.103,43.979,43.754,43.487,43.218,42.946,42.671,42.395,42.116,41.835,41.552,41.267,,,,,,,,,,
