Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Carbon Performance Alignment,Benchmark ID,History to Projection cutoff year,CP Unit,Assumptions,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/09/2019,12/07/2019,Not Aligned,Electricity Utilities_01/09/2019,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,0.964,0.958,0.95,0.966,0.957,0.941,0.925,0.91,0.894,0.878,0.862,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGL Energy,Australia,AUS,Electricity Utilities,Yes,large,"AU000000AGL7, AU000000AGK9","BSS7GP5, BQ6Q917",01/07/2018,02/07/2018,Not Aligned,Electricity Utilities_01/07/2018,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),AGL Energy has not disclosed a quantitative target to reduce its emissions which TPI can use to estimate future carbon performance.,0.958,0.958,0.948,0.968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2020,23/10/2020,Not Aligned,Airlines_01/12/2020,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,897.0,908.0,870.0,844.0,842.0,869.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/12/2019,07/11/2019,Not Aligned,Airlines_01/12/2019,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. TPI’s intensity calculation excludes emissions and passenger traffic data for ANA's low cost carrier operations.,,660.0,662.0,638.0,620.0,614.0,629.0,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA Group,Japan,JPN,Airlines,No,large,JP3429800000,6014908,01/02/2019,04/01/2019,Not Aligned,Airlines_01/02/2019,2017,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,137.0,134.0,132.0,128.0,130.0,132.0,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,"DK0010244425, DK0010244508","4253059, 4253048",01/12/2020,23/10/2020,Below 2 Degrees,Shipping_01/12/2020,2019,Carbon intensity (gCO2 / t-km),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,4.45,4.38,4.3,4.1,3.98,3.87,3.75,3.63,3.52,3.4,3.28,3.17,3.05,2.93,2.82,2.68,2.54,2.4,2.25,2.11,1.97,1.83,1.69,1.55,1.41,1.27,1.13,0.99,0.85,0.7,0.56,0.42,0.28,0.14,0.0
AP Moller – Maersk,Denmark,DNK,Shipping,Yes,large,"DK0010244425, DK0010244508","4253059, 4253048",01/12/2019,07/11/2019,Below 2 Degrees,Shipping_01/12/2019,2018,Carbon intensity (gCO2 / t-km),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector.  The carbon intensity has been recalculated according to TPI methodology. TPI assumes that carbon intensity reported in the company's CDP Climate Change Response takes precedence over the fuel efficiency data reported in the company's Annual Report.,,,,4.5,4.4,4.3,4.2,4.1,4.0,3.8,3.7,3.6,3.5,3.4,3.3,3.1,3.0,2.9,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/11/2021,05/08/2021,Not Aligned,Oil & Gas_01/11/2021,2019,Emissions intensity (gCO2e / MJ),"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,69.81367486,73.12089704,73.77851541,74.21856859,73.82810993,72.47060761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/10/2020,12/08/2020,Not Aligned,Oil & Gas_01/10/2020,2018,Emissions intensity (gCO2e / MJ),The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.,,72.48,73.16,73.69,73.41,73.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APA Corporation,United States of America,USA,Oil & Gas,No,medium,US03743Q1085,BNNF1C1,01/09/2019,02/08/2019,Not Aligned,Oil & Gas_01/09/2019,2017,Emissions intensity (gCO2e / MJ),The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology.,,72.393,73.088,73.626,73.342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2021,23/12/2020,Below 2 Degrees,Steel_01/02/2021,2019,Carbon intensity (tonnes of CO2 per tonne of steel),The company discloses an emissions intensity using an emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,0.925,0.931,0.99,0.622,0.602,0.582,0.562,0.542,0.522,0.502,0.482,0.462,0.441,0.421,0.401,0.381,0.361,0.341,0.321,0.301,0.281,0.261,0.241,0.221,0.201,0.181,0.161,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/02/2020,20/12/2019,2 Degrees,Steel_01/02/2020,2018,Carbon intensity (tonnes of CO2 per tonne of steel),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,,,0.924755152,0.930710202,0.989660656,0.986691674,0.983722692,0.98075371,0.977784728,0.974815746,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2018,18/09/2018,Below 2 Degrees,Steel_01/09/2018,2016,Carbon intensity (tonnes of CO2 per tonne of steel),"Acerinox has set targets to reduce its emissions intensity. For this company, TPI has assumed that:
● The company’s future steel production grows at the same rate as IEA projections.",0.55,0.55,0.59,0.6,0.494,0.389,0.283,0.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acerinox,Spain,ESP,Steel,No,small,ES0132105018,B01ZVZ5,01/09/2017,14/09/2017,2 Degrees,Steel_01/11/2017,2015,Carbon intensity (tonnes of CO2 per tonne of steel),,0.55,0.55,0.59,0.578,0.566,0.555,0.543,0.531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air Canada,Canada,CAN,Airlines,No,small,CA0089118776,BSDHYK1,01/12/2020,23/10/2020,Not Aligned,Airlines_01/12/2020,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,951.0,939.0,899.0,848.0,860.0,914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air China,China,CHN,Airlines,No,large,"CNE1000001S0, CNE000001NN0","B04KNF1, B1B8WM5, BP3R4G6",01/12/2020,23/10/2020,Not Aligned,Airlines_01/12/2020,2019,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,840.0,844.0,807.0,814.0,814.0,863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air China,China,CHN,Airlines,No,large,"CNE1000001S0, CNE000001NN0","B04KNF1, B1B8WM5, BP3R4G6",01/12/2019,07/11/2019,Not Aligned,Airlines_01/12/2019,2018,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,592.0,598.0,570.0,568.0,566.0,570.0,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air China,China,CHN,Airlines,No,large,"CNE1000001S0, CNE000001NN0","B04KNF1, B1B8WM5, BP3R4G6",01/02/2019,04/01/2019,Not Aligned,Airlines_01/02/2019,2017,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,111.0,112.0,111.0,107.0,107.0,107.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/12/2020,23/10/2020,Not Aligned,Airlines_01/12/2020,2019,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology.",,824.0,828.0,822.0,794.0,774.0,776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air France KLM,France,FRA,Airlines,Yes,medium,FR0000031122,4916039,01/12/2019,07/11/2019,Not Aligned,Airlines_01/12/2019,2018,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's intensity target includes carbon offsetting, which is inconsistent with TPI's methodology and is therefore not used to estimate future Carbon Performance.",,585.0,582.0,574.0,553.0,538.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2020,23/10/2020,Not Aligned,Airlines_01/12/2020,2019,Carbon intensity (gCO2 / RTK),The company discloses an emissions intensity using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.,,988.0,983.0,963.0,965.0,964.0,965.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/12/2019,07/11/2019,Not Aligned,Airlines_01/12/2019,2018,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The historic intensity figures have been adjusted to include Virgin America, which Alaska Air acquired in 2016. Based on information disclosed, TPI assumes that the company's aircraft carbon emissions represent over 99% of total Scope 1&2 emissions and that freight operations are negligible.",,626.0,622.0,610.0,611.0,611.0,597.0,583.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska Air,United States of America,USA,Airlines,No,medium,US0116591092,2012605,01/02/2019,04/01/2019,International Pledges,Airlines_01/02/2019,2017,Carbon intensity (gCO2 / RTK),"The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The historic intensity figures have been adjusted to include Virgin America, which Alaska Air acquired in 2016.",,94.0,93.0,91.0,91.0,90.0,89.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2021,23/12/2020,Not Aligned,Aluminium_01/02/2021,2019,Carbon intensity (tCO2e / t aluminium),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's scrap recycling emissions intensity is assumed to remain unchanged from 2019 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2019 onward. TPI has not made any further assumptions in order to project this companyís Carbon Performance.,,,6.313,5.472,5.197,5.692,6.48,6.237,5.994,5.751,5.508,5.265,5.021,4.791,4.561,4.33,4.1,3.87,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2020,20/12/2019,Not Aligned,Aluminium_01/02/2020,2018,Carbon intensity (tCO2e / t aluminium),The company discloses an emissions intensity and target using an activity measure and/or emissions figure that is inconsistent with TPIís methodology for this sector. The carbon intensity has been recalculated according to TPI methodology. The company's scrap recycling emissions intensity is assumed to remain unchanged from 2017 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2017 onward. TPI has not made any further assumptions in order to project this companyís Carbon Performance.,,,6.313077036,5.472480703,5.196978879,5.691953647,5.628037443,5.56412124,5.500205036,5.436288833,5.372372629,5.308456426,5.244540222,5.194922534,5.145304846,5.095687158,5.046069469,4.996451781,,,,,,,,,,,,,,,,,,,,
Alcoa,United States of America,USA,Aluminium,No,small,US0138721065,BYNF418,01/02/2019,14/12/2018,Not Aligned,Aluminium_01/02/2019,2017,Carbon intensity (tCO2e / t aluminium),The company's scrap recycling emissions intensity is assumed to remain unchanged from 2017 onward. The company's ratio of alumina to primary aluminium production is assumed to remain unchanged from 2017 onward.,,,6.31,5.47,5.2,5.22,5.23,5.25,5.27,5.29,5.31,5.33,5.35,5.29,5.24,5.19,5.14,5.09,,,,,,,,,,,,,,,,,,,,
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/11/2021,05/08/2021,Not Aligned,Electricity Utilities_01/11/2021,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).

The company's target applies to Scope 1 and 2 emissions, which normally would not be accepted in TPI's electricity methodology because targets must be stated explicitly as referring to Scope 1 emissions from electricity generation. However, Algonquin Power & Utilities has made explicit that it will meet its target by closing a coal facility. We therefore assume that effectively their target will be applied to the emissions from electricity generation.",,,,0.0789,0.3433,0.2953,0.2947,0.279065796,0.263431592,0.247797388,0.232163184,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algonquin Power & Utilities,Canada,CAN,Electricity Utilities,No,small,CA0158571053,B51BMR7,01/10/2020,12/08/2020,Paris Pledges,Electricity Utilities_01/10/2020,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),TPI has not made any further assumptions in order to project this company’s Carbon Performance.,,,,0.078,0.329,0.281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/11/2021,05/08/2021,Below 2 Degrees,Electricity Utilities_01/11/2021,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",,,,0.841305441,0.83919691,0.741389841,0.623133379,0.56,0.550486276,0.540972553,0.531458829,0.521945106,0.512431382,0.502917659,0.493403935,0.483890211,0.474376488,0.464862764,0.441619626,0.418376488,0.39513335,0.371890211,0.348647073,0.325403935,0.302160797,0.278917659,0.25567452,0.232431382,0.209188244,0.185945106,0.162701967,0.139458829,0.116215691,0.092972553,0.069729415,0.046486276,0.023243138,0.0
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/10/2020,12/08/2020,Below 2 Degrees,Electricity Utilities_01/10/2020,2018,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses emissions targets using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",,,,0.845,0.843,0.744,0.626,0.615,0.603,0.592,0.58,0.569,0.558,0.546,0.535,0.523,0.512,0.501,0.476,0.45,0.425,0.4,0.375,0.35,0.325,0.3,0.275,0.25,0.225,0.2,0.175,0.15,0.125,0.1,0.075,0.05,0.025,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/09/2019,02/08/2019,Not Aligned,Electricity Utilities_01/09/2019,2017,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company discloses emissions targets using an activity measure and/or emissions figure that is inconsistent with TPI’s methodology for this sector. The carbon intensity has been recalculated according to TPI methodology.The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario.",,,,0.841,0.836,0.821,0.806,0.791,0.776,0.761,0.745,0.73,0.715,0.7,0.685,0.67,0.655,0.639,,,,,,,,,,,,,,,,,,,,
Alliant Energy,United States of America,USA,Electricity Utilities,No,medium,US0188021085,2973821,01/07/2018,02/07/2018,Not Aligned,Electricity Utilities_01/07/2018,2016,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"Alliant Energy has set a target to reduce its absolute emissions.TPI has adjusted this target by assuming that future electricity generation grows at the same rate as the IEA's ""Gross electricity generation"" projections for the region in which the company operates using the ETP (2017) Reference Technology Scenario.",,,,0.839,0.831,0.823,0.815,0.807,0.799,0.791,0.783,0.775,0.767,0.759,0.751,0.743,0.735,0.727,,,,,,,,,,,,,,,,,,,,
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2021,23/12/2020,Not Aligned,Aluminium_01/02/2021,2019,Carbon intensity (tCO2e / t aluminium),TPI has not made any further assumptions in order to project this company's Carbon Performance.,21.27,20.7,19.9,18.25,17.1,16.89,16.51,16.51,16.51,16.51,16.51,16.51,16.51,16.496,16.482,16.468,16.454,16.44,,,,,,,,,,,,,,,,,,,,
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2020,20/12/2019,Not Aligned,Aluminium_01/02/2020,2018,Carbon intensity (tCO2e / t aluminium),TPI has not made any further assumptions in order to project this companyís Carbon Performance.,21.27,20.7,19.9,19.41,17.06,17.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alumina,Australia,AUS,Aluminium,No,large,AU000000AWC3,6954985,01/02/2019,19/12/2018,Not Aligned,Aluminium_01/02/2019,2017,Carbon intensity (tCO2e / t aluminium),"TPI has not made any further assumptions in order to project this company’s Carbon Performance. The company has not set targets to reduce its emissions intensity. 
Despite Alumina itself not setting targets, AWAC, of which Alumina owns 40%, does have targets in place.",21.27,20.7,19.9,19.41,17.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/02/2021,23/12/2020,Not Aligned,Cement_01/02/2021,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,0.556,0.554,0.545,0.543,0.55,0.53,0.531,0.525,0.519,0.512,0.506,0.5,0.494,0.488,0.482,0.475,0.469,0.463,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/02/2020,20/12/2019,2 Degrees,Cement_01/02/2020,2018,Carbon intensity (tonnes of CO2 per tonne of cementitious product),Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this companyís carbon performance.,0.556,0.554,0.545,0.543,0.55,0.593,0.555,0.517,0.5116,0.5062,0.5008,0.4954,0.49,0.4846,0.4792,0.4738,0.4684,0.463,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/09/2018,18/09/2018,2 Degrees,Cement_01/09/2018,2017,Carbon intensity (tonnes of CO2 per tonne of cementitious product),Ambuja has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.,0.556,0.554,0.545,0.543,0.55,0.539,0.528,0.517,0.512,0.506,0.501,0.495,0.49,0.485,0.479,0.474,0.468,0.463,,,,,,,,,,,,,,,,,,,,
Ambuja Cements,India,IND,Cement,No,large,INE079A01024,B09QQ11,01/09/2017,14/09/2017,2 Degrees,Cement_01/11/2017,2015,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,0.556,0.554,0.545,0.535,0.525,0.514,0.504,0.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameren,United States of America,USA,Electricity Utilities,No,medium,US0236081024,2050832,01/11/2021,05/08/2021,Below 2 Degrees,Electricity Utilities_01/11/2021,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI assumes that the company’s electricity generation grows according to the national or regional electricity generation growth rate projected in the IEA’s 2020 World Energy Outlook’s Stated Policies Scenario (STEPS).",0.6489,0.6639,0.668,0.689,0.729,0.686,0.663,0.649151835,0.635303669,0.621455504,0.607607339,0.593759173,0.579911008,0.566062843,0.552214678,0.538366512,0.524518347,0.510670182,0.474189578,0.437708975,0.401228372,0.364747769,0.328267165,0.291786562,0.255305959,0.218825356,0.182344752,0.145864149,0.131277734,0.116691319,0.102104904,0.08751849,0.072932075,0.05834566,0.043759245,0.02917283,0.014586415,0.0
